NNLS: Solver (v) 1.0
(c) 2010 Suvrit Sra
Matrix = 12121800 bytes, rhs = 10680 bytes
Extra Memory used=207884 bytes
Time		Obj
44.594	6.6055982e+010	3.5877706e+041
44.719	7.0854174e+010	3.5872179e+041
44.844	5.6003458e+010	1.0947255e+043
44.969	3.633797e+011	1.6734741e+042
45.078	7.9555668e+010	6.8744746e+043
45.203	6.2898092e+010	1.9643116e+043
45.328	5.6678465e+010	1.0422698e+043
45.453	5.5521388e+010	3.1484263e+042
45.563	5.5350498e+010	1.4992507e+042
45.688	5.530009e+010	6.9399188e+041
45.813	5.528955e+010	3.2611238e+041
45.922	5.5136344e+010	3.260964e+041
46.047	5.5082649e+010	5.7036721e+041
46.172	5.506718e+010	3.2562828e+041
46.297	5.5059461e+010	3.2560324e+041
46.422	5.4951097e+010	3.25582e+041
46.547	5.4915431e+010	3.2520128e+041
46.657	5.4891643e+010	3.2514959e+041
46.782	5.4858636e+010	3.2507699e+041
46.907	3.2373469e+011	3.2497616e+041
47.016	4.5720204e+010	3.5164267e+043
47.141	8.3865813e+011	9.3223486e+042
47.250	8.5706449e+010	1.251837e+044
47.375	4.227639e+010	3.4878178e+043
47.500	2.7431943e+010	1.9002965e+043
47.610	2.488458e+010	8.2922827e+042
47.735	2.4225716e+010	4.5737231e+042
47.860	2.3825797e+010	4.2964801e+042
47.985	2.3469664e+010	4.070559e+042
48.110	1.9726673e+010	3.9236662e+042
48.219	2.1832816e+010	3.8237899e+042
48.344	1.5886343e+011	4.984075e+042
48.454	3.0953592e+010	5.0895774e+043
48.579	2.2622236e+010	1.6273001e+043
48.704	1.9732476e+010	9.4531692e+042
48.829	1.9344699e+010	4.5891831e+042
48.954	1.9256545e+010	2.4796632e+042
49.063	1.9173733e+010	1.3121897e+042
49.188	1.9118959e+010	7.836735e+041
49.313	1.9083444e+010	8.3783443e+041
49.422	1.891979e+010	2.0629713e+042
49.547	1.8908062e+010	5.2233785e+041
49.672	1.8885108e+010	3.3869479e+041
49.797	3.2545562e+010	3.3331188e+041
49.922	1.8827474e+010	1.2172802e+043
50.047	1.8522732e+010	1.6652905e+042
50.157	1.8449518e+010	6.3574738e+041
50.282	1.8428477e+010	2.5897809e+041
50.407	1.8416141e+010	2.3069137e+041
50.532	1.8446138e+010	1.8031436e+041
50.657	1.8312584e+010	8.2865414e+041
50.766	1.8299783e+010	3.9105769e+041
50.891	1.8290152e+010	4.0477805e+041
51.016	1.8285285e+010	2.4650828e+041
51.141	1.8272844e+010	1.7812569e+041
51.266	1.8205013e+010	1.7813057e+041
51.391	1.818989e+010	4.0304594e+041
51.500	1.8183316e+010	1.8033819e+041
51.625	1.8169803e+010	1.968455e+041
51.750	1.8166017e+010	2.3253071e+041
51.875	1.8153021e+010	3.983965e+041
52.000	1.8145936e+010	2.0384009e+041
52.110	1.8139384e+010	1.8711061e+041
52.235	1.8124746e+010	1.7763908e+041
52.360	1.8122558e+010	1.774948e+041
52.485	1.8053345e+010	1.7750962e+041
52.594	1.8036253e+010	3.2204912e+041
52.719	1.8029965e+010	1.7723482e+041
52.844	1.8021994e+010	1.7719342e+041
52.985	6.8118823e+010	1.7715925e+041
53.125	2.004136e+010	1.8568952e+043
53.297	1.4260781e+010	4.9656426e+042
53.422	1.3304973e+010	2.2154049e+042
53.563	1.3339343e+010	1.0955376e+042
53.719	1.293423e+010	1.9991846e+042
53.844	1.2925856e+010	4.2666312e+041
53.985	1.2909545e+010	3.9264273e+041
54.125	1.2851187e+010	3.2691945e+041
54.266	1.2842382e+010	1.5013533e+041
54.422	1.2831076e+010	1.4988639e+041
54.563	1.2825988e+010	1.7342795e+041
54.704	1.2819567e+010	1.4983997e+041
54.844	1.2815361e+010	1.4973036e+041
54.969	1.2695837e+010	1.4971552e+041
55.079	1.2696906e+010	2.453129e+041
55.204	1.3311715e+010	4.3578137e+041
55.329	1.2716879e+010	2.6333994e+042
55.454	1.2671323e+010	1.1043145e+042
55.579	1.2661775e+010	4.5983018e+041
55.688	1.2658276e+010	2.2881282e+041
55.813	1.2655994e+010	1.4835152e+041
55.938	1.3524056e+010	1.4833677e+041
56.063	1.2254803e+010	3.1227369e+042
56.172	1.2168097e+010	6.8293989e+041
56.297	1.2157213e+010	1.819316e+041
56.422	1.2144594e+010	1.4497248e+041
56.547	1.2126009e+010	1.4481611e+041
56.657	1.1873055e+010	1.4465454e+041
56.782	1.1861963e+010	3.6929904e+041
56.907	1.1855628e+010	2.8886822e+041
57.032	1.1853771e+010	1.5520052e+041
57.141	1.1845308e+010	1.4283047e+041
57.266	1.1839036e+010	2.9984014e+041
57.391	1.1836254e+010	1.4278386e+041
57.516	1.1833223e+010	1.4278409e+041
57.626	2.2735248e+010	1.4276558e+041
57.751	1.1304427e+010	9.0709085e+042
57.876	1.0707828e+010	1.7716739e+042
58.001	1.0626265e+010	7.8011369e+041
58.110	1.0567029e+010	5.2985999e+041
58.235	1.0523224e+010	3.2437057e+041
58.360	1.0541826e+010	1.7999914e+041
58.485	1.0517859e+010	5.8998635e+041
58.594	1.0510259e+010	3.3533708e+041
58.719	1.0505338e+010	4.3571021e+041
58.844	1.0499015e+010	2.2554252e+041
58.969	1.049182e+010	4.2202817e+041
59.079	1.0490055e+010	1.3315337e+041
59.204	1.048776e+010	1.3314298e+041
59.329	1.0542967e+010	1.3312635e+041
59.454	1.0377859e+010	1.2057325e+042
59.563	1.0371465e+010	1.9918842e+041
59.688	1.0368675e+010	1.323752e+041
59.813	1.0342366e+010	1.3231153e+041
59.922	1.0338158e+010	1.3209646e+041
60.047	1.0302586e+010	1.3213008e+041
60.172	1.0299261e+010	1.461415e+041
60.297	1.0296681e+010	1.3179732e+041
60.422	1.0294661e+010	1.3181472e+041
60.547	1.2625664e+010	1.3180264e+041
60.657	9.5104267e+009	4.9702306e+042
60.782	9.4979935e+009	4.4262863e+041
60.907	9.4754068e+009	4.4384368e+041
61.032	9.4732207e+009	1.8469505e+041
61.141	9.4618245e+009	1.6209997e+041
61.266	9.4511432e+009	1.2533084e+041
61.391	9.4462772e+009	1.2534291e+041
61.516	9.4356913e+009	1.2527854e+041
61.626	9.3221532e+009	6.7927577e+041
61.751	9.3130047e+009	2.0634082e+041
61.876	9.3063677e+009	2.9567167e+041
62.001	9.3043195e+009	1.4587573e+041
62.110	9.2979066e+009	1.2448258e+041
62.235	9.2654003e+009	1.2438944e+041
62.360	9.2564572e+009	2.2663131e+041
62.485	9.2518176e+009	1.2390765e+041
62.594	9.2495378e+009	1.2374553e+041
62.719	9.2425227e+009	1.2380869e+041
62.844	9.2372108e+009	1.2381476e+041
62.969	9.1019944e+009	1.2376452e+041
63.079	8.8295985e+009	1.1664014e+042
63.204	9.3589446e+009	4.9383862e+041
63.329	8.8034162e+009	2.8040652e+042
63.438	8.7609598e+009	1.0915153e+042
63.563	8.7521004e+009	4.3593313e+041
63.688	8.7435427e+009	3.2474369e+041
63.813	8.736683e+009	2.7784378e+041
63.938	8.706009e+009	2.5485438e+041
64.047	8.7091322e+009	1.9727294e+041
64.172	8.7282331e+009	3.1556195e+041
64.297	8.6975118e+009	7.6849097e+041
64.422	8.6945072e+009	4.0059638e+041
64.532	8.693255e+009	1.314607e+041
64.657	8.6804509e+009	1.1969801e+041
64.782	8.6779999e+009	1.8918411e+041
64.907	8.674934e+009	1.196057e+041
65.032	8.6733697e+009	1.1954925e+041
65.157	8.3738105e+009	1.1954368e+041
65.282	8.3546165e+009	3.5346826e+041
65.391	8.3505285e+009	1.2242079e+041
65.516	8.348684e+009	1.168337e+041
65.626	8.3429021e+009	1.1674464e+041
65.751	8.338208e+009	1.1667398e+041
65.876	8.2915091e+009	1.166915e+041
66.001	8.2874198e+009	1.8962318e+041
66.126	8.2856373e+009	1.2975046e+041
66.235	2.1293551e+010	1.1624975e+041
66.360	8.3198142e+009	4.1977923e+042
66.485	8.2866086e+009	4.6503672e+042
66.610	3.1998247e+013	3.6778062e+042
66.719	1.5291944e+012	2.9084817e+044
66.844	4.7121998e+011	1.2201262e+044
66.969	1.0090372e+011	6.3906062e+043
67.094	2.7884117e+010	2.6723229e+043
67.219	1.4309159e+010	1.1460551e+043
67.329	9.7829701e+009	6.4869127e+042
67.454	8.8522366e+009	3.9535664e+042
67.579	8.3481737e+009	2.2923427e+042
67.704	8.3208402e+009	1.3817062e+042
67.813	8.3173823e+009	2.0979109e+041
67.938	8.313977e+009	1.6773733e+041
68.063	8.4171074e+009	1.6668577e+041
68.173	8.2758745e+009	1.3533442e+042
68.298	8.2742023e+009	1.8777827e+041
68.423	8.2726231e+009	1.1647572e+041
68.548	8.2567136e+009	1.164202e+041
68.657	8.2525877e+009	1.1619617e+041
68.782	8.2200878e+009	1.1624005e+041
68.907	8.2193019e+009	1.1602435e+041
69.016	8.2067648e+009	1.160254e+041
69.141	8.2015496e+009	1.5132764e+041
69.266	8.1982458e+009	1.1577611e+041
69.391	8.1954956e+009	1.1582399e+041
69.501	8.0010141e+009	1.1579502e+041
69.626	7.9893824e+009	2.0098862e+041
69.751	7.9859628e+009	1.1393012e+041
69.876	7.9839186e+009	1.2763755e+041
69.985	7.9810621e+009	1.1397253e+041
70.110	7.9794076e+009	1.1391037e+041
70.235	7.7357836e+009	1.1390123e+041
70.360	7.7176964e+009	3.4683483e+041
70.469	7.7140355e+009	1.1147221e+041
70.594	7.7123157e+009	1.1170101e+041
70.719	7.7063212e+009	1.116147e+041
70.844	7.7038856e+009	1.1156001e+041
70.954	7.5497503e+009	1.1155714e+041
71.079	7.543825e+009	1.1039674e+041
71.204	7.5454508e+009	1.1006664e+041
71.329	7.5352556e+009	3.1431502e+041
71.438	7.5336643e+009	1.1021316e+041
71.563	7.5318434e+009	1.1014712e+041
71.688	7.4719425e+009	1.1010713e+041
71.813	7.4635601e+009	1.0961072e+041
71.938	7.5701054e+009	1.094388e+041
72.063	7.4245773e+009	1.0853814e+042
72.188	7.4171342e+009	2.4127724e+041
72.298	7.4144637e+009	1.0924181e+041
72.423	7.4062782e+009	1.091337e+041
72.548	7.4047539e+009	1.0895209e+041
72.657	7.3941036e+009	1.0898606e+041
72.782	7.3920421e+009	1.0897966e+041
72.907	7.3748138e+009	1.0891042e+041
73.016	7.3726065e+009	1.0871472e+041
73.141	7.314327e+009	1.0872546e+041
73.266	7.3097334e+009	1.0831731e+041
73.376	7.2931977e+009	1.0815535e+041
73.501	7.2878464e+009	1.7904652e+041
73.626	7.2850877e+009	1.0803639e+041
73.751	7.2824914e+009	1.0796898e+041
73.860	4.8196464e+009	1.0794484e+041
73.985	5.5111622e+009	6.8687554e+041
74.110	4.7286673e+009	3.2161255e+042
74.235	4.7202567e+009	3.2986565e+041
74.344	4.7147533e+009	3.3272636e+041
74.469	4.7102394e+009	3.1915756e+041
74.594	4.6913067e+009	2.9840866e+041
74.719	4.6893347e+009	2.547847e+041
74.844	4.6869182e+009	1.8866231e+041
74.954	4.6848336e+009	1.9965299e+041
75.079	4.6840633e+009	1.1815138e+041
75.204	4.6788871e+009	8.2179439e+040
75.313	4.6864908e+009	1.3780381e+041
75.438	4.6791152e+009	3.38243e+041
75.563	4.6767897e+009	1.8490513e+041
75.688	4.6752496e+009	2.2932291e+041
75.798	4.6723814e+009	1.394785e+041
75.923	4.6715263e+009	1.334843e+041
76.048	4.6672124e+009	8.1951706e+040
76.173	4.6633679e+009	2.200722e+041
76.298	4.6625192e+009	8.1839426e+040
76.423	4.661673e+009	8.1862083e+040
76.548	5.0447676e+009	8.1862892e+040
76.657	4.4864441e+009	2.1781208e+042
76.782	4.5578336e+009	2.1641126e+041
76.907	4.4790098e+009	1.0758896e+042
