S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
10,00	0,0000E000	5,7416E-033	3,0273E-030	8,7795E-029	1,0251E-027	7,0743E-027	3,4381E-026	1,2987E-025	4,0555E-025	1,0913E-024	2,6056E-024	5,6396E-024	1,1246E-023	2,0922E-023	3,6674E-023	6,1051E-023	9,7147E-023	1,4855E-022	2,1926E-022	3,1353E-022	4,3575E-022	5,9017E-022	7,8077E-022	1,0110E-021	1,2834E-021	1,5997E-021	1,9606E-021	2,3651E-021	2,8111E-021	3,2950E-021	3,8115E-021	4,3545E-021	4,9162E-021	5,4885E-021	6,0622E-021	6,6280E-021	7,1763E-021	7,6976E-021	8,1831E-021	8,6237E-021	9,0114E-021	9,3392E-021	9,6011E-021	9,7916E-021	9,9072E-021	9,9460E-021	TRUE
15,00	0,0000E000	1,9369E-028	1,0620E-026	1,3348E-025	8,6313E-025	3,7735E-024	1,2678E-023	3,5218E-023	8,4723E-023	1,8205E-022	3,5707E-022	6,4965E-022	1,1099E-021	1,7976E-021	2,7803E-021	4,1318E-021	5,9290E-021	8,2484E-021	1,1163E-020	1,4740E-020	1,9034E-020	2,4090E-020	2,9933E-020	3,6575E-020	4,4007E-020	5,2201E-020	6,1110E-020	7,0667E-020	8,0789E-020	9,1374E-020	1,0231E-019	1,1347E-019	1,2472E-019	1,3591E-019	1,4690E-019	1,5754E-019	1,6769E-019	1,7721E-019	1,8595E-019	1,9380E-019	2,0065E-019	2,0639E-019	2,1094E-019	2,1425E-019	2,1624E-019	2,1691E-019	TRUE
20,00	0,0000E000	6,8750E-026	1,6212E-024	1,2421E-023	5,6438E-023	1,8670E-022	4,9885E-022	1,1440E-021	2,3384E-021	4,3652E-021	7,5675E-021	1,2339E-020	1,9113E-020	2,8348E-020	4,0496E-020	5,5985E-020	7,5203E-020	9,8480E-020	1,2608E-019	1,5818E-019	1,9486E-019	2,3606E-019	2,8169E-019	3,3156E-019	3,8536E-019	4,4264E-019	5,0295E-019	5,6576E-019	6,3048E-019	6,9647E-019	7,6306E-019	8,2953E-019	8,9518E-019	9,5930E-019	1,0212E-018	1,0803E-018	1,1358E-018	1,1873E-018	1,2341E-018	1,2757E-018	1,3116E-018	1,3416E-018	1,3653E-018	1,3823E-018	1,3926E-018	1,3960E-018	TRUE
25,00	0,0000E000	3,6661E-024	5,5797E-023	3,0203E-022	1,0505E-021	2,8406E-021	6,4872E-021	1,3072E-020	2,3884E-020	4,0354E-020	6,4019E-020	9,6518E-020	1,3951E-019	1,9450E-019	2,6266E-019	3,4484E-019	4,4175E-019	5,5397E-019	6,8164E-019	8,2443E-019	9,8174E-019	1,1528E-018	1,3364E-018	1,5310E-018	1,7349E-018	1,9470E-018	2,1656E-018	2,3886E-018	2,6132E-018	2,8375E-018	3,0595E-018	3,2777E-018	3,4904E-018	3,6955E-018	3,8911E-018	4,0755E-018	4,2471E-018	4,4044E-018	4,5462E-018	4,6713E-018	4,7789E-018	4,8679E-018	4,9378E-018	4,9878E-018	5,0176E-018	5,0274E-018	TRUE
30,00	0,0000E000	7,2278E-023	7,2563E-022	3,2269E-021	9,5733E-021	2,2402E-020	4,4963E-020	8,1138E-020	1,3539E-019	2,1249E-019	3,1694E-019	4,5230E-019	6,2091E-019	8,2422E-019	1,0637E-018	1,3411E-018	1,6581E-018	2,0142E-018	2,4064E-018	2,8303E-018	3,2822E-018	3,7603E-018	4,2623E-018	4,7840E-018	5,3196E-018	5,8639E-018	6,4135E-018	6,9653E-018	7,5151E-018	8,0564E-018	8,5831E-018	9,0905E-018	9,5767E-018	1,0040E-017	1,0479E-017	1,0891E-017	1,1273E-017	1,1621E-017	1,1934E-017	1,2209E-017	1,2443E-017	1,2635E-017	1,2784E-017	1,2890E-017	1,2951E-017	1,2970E-017	TRUE
35,00	0,0000E000	8,9310E-022	5,5793E-021	1,9711E-020	5,1569E-020	1,1068E-019	2,0643E-019	3,4720E-019	5,4028E-019	7,9248E-019	1,1111E-018	1,5042E-018	1,9794E-018	2,5412E-018	3,1883E-018	3,9128E-018	4,7027E-018	5,5476E-018	6,4432E-018	7,3919E-018	8,3970E-018	9,4544E-018	1,0549E-017	1,1658E-017	1,2764E-017	1,3860E-017	1,4945E-017	1,6021E-017	1,7084E-017	1,8123E-017	1,9123E-017	2,0076E-017	2,0976E-017	2,1821E-017	2,2616E-017	2,3357E-017	2,4039E-017	2,4662E-017	2,5221E-017	2,5710E-017	2,6124E-017	2,6461E-017	2,6719E-017	2,6896E-017	2,6994E-017	2,7023E-017	TRUE
40,00	0,0000E000	6,9802E-021	3,2689E-020	9,0781E-020	2,0185E-019	3,9031E-019	6,8053E-019	1,0927E-018	1,6393E-018	2,3240E-018	3,1427E-018	4,0876E-018	5,1535E-018	6,3420E-018	7,6624E-018	9,1267E-018	1,0740E-017	1,2491E-017	1,4345E-017	1,6251E-017	1,8161E-017	2,0040E-017	2,1885E-017	2,3721E-017	2,5580E-017	2,7478E-017	2,9403E-017	3,1306E-017	3,3148E-017	3,4877E-017	3,6486E-017	3,7982E-017	3,9361E-017	4,0660E-017	4,1892E-017	4,3039E-017	4,4091E-017	4,5051E-017	4,5909E-017	4,6651E-017	4,7270E-017	4,7762E-017	4,8126E-017	4,8362E-017	4,8482E-017	4,8514E-017	TRUE
45,00	0,0000E000	3,4989E-020	1,4575E-019	3,4974E-019	6,7500E-019	1,1581E-018	1,8408E-018	2,7640E-018	3,9615E-018	5,4512E-018	7,2290E-018	9,2662E-018	1,1512E-017	1,3907E-017	1,6396E-017	1,8947E-017	2,1560E-017	2,4266E-017	2,7115E-017	3,0148E-017	3,3372E-017	3,6735E-017	4,0137E-017	4,3448E-017	4,6563E-017	4,9392E-017	5,1942E-017	5,4281E-017	5,6489E-017	5,8665E-017	6,0893E-017	6,3136E-017	6,5314E-017	6,7457E-017	6,9502E-017	7,1314E-017	7,2861E-017	7,4204E-017	7,5373E-017	7,6365E-017	7,7167E-017	7,7769E-017	7,8174E-017	7,8397E-017	7,8479E-017	7,8492E-017	TRUE
50,00	0,0000E000	1,2227E-019	4,8788E-019	1,1002E-018	1,9671E-018	3,1046E-018	4,5402E-018	6,3135E-018	8,4723E-018	1,1066E-017	1,4131E-017	1,7677E-017	2,1675E-017	2,6042E-017	3,0648E-017	3,5336E-017	3,9949E-017	4,4366E-017	4,8531E-017	5,2465E-017	5,6262E-017	6,0073E-017	6,4061E-017	6,8327E-017	7,2916E-017	7,7659E-017	8,2472E-017	8,7091E-017	9,1227E-017	9,4916E-017	9,7984E-017	1,0036E-016	1,0224E-016	1,0384E-016	1,0523E-016	1,0641E-016	1,0752E-016	1,0868E-016	1,0988E-016	1,1105E-016	1,1206E-016	1,1283E-016	1,1334E-016	1,1358E-016	1,1365E-016	1,1364E-016	TRUE
55,00	0,0000E000	3,2564E-019	1,2689E-018	2,7963E-018	4,8499E-018	7,3654E-018	1,0286E-017	1,3575E-017	1,7226E-017	2,1268E-017	2,5759E-017	3,0776E-017	3,6388E-017	4,2635E-017	4,9490E-017	5,6841E-017	6,4481E-017	7,2134E-017	7,9498E-017	8,6306E-017	9,2350E-017	9,7554E-017	1,0194E-016	1,0567E-016	1,0903E-016	1,1238E-016	1,1612E-016	1,2027E-016	1,2487E-016	1,3030E-016	1,3587E-016	1,4104E-016	1,4613E-016	1,5123E-016	1,5578E-016	1,5925E-016	1,6175E-016	1,6346E-016	1,6456E-016	1,6519E-016	1,6545E-016	1,6540E-016	1,6510E-016	1,6464E-016	1,6420E-016	1,6401E-016	TRUE
