S 10 18 8
1
020,000	-1,8115E-006	-5,3575E-005	-4,4308E-004	-1,9373E-003	-5,7906E-003	-1,3483E-002	-2,6304E-002	-4,4794E-002	-6,8205E-002	-9,4512E-002	-1,2091E-001	-1,4412E-001	-1,6118E-001	-1,7089E-001	-1,7504E-001	-1,7843E-001	-1,7380E-001	-3,6108E-004	TRUE
025,000	-1,0444E-004	-1,5775E-003	-7,8980E-003	-2,4703E-002	-5,9231E-002	-1,1822E-001	-2,0418E-001	-3,1256E-001	-4,3250E-001	-5,5075E-001	-6,5593E-001	-7,4016E-001	-7,9870E-001	-8,3035E-001	-8,4056E-001	-8,3768E-001	-7,4098E-001	-1,2966E-003	TRUE
030,000	-1,4614E-003	-1,5143E-002	-6,4899E-002	-1,7315E-001	-3,4892E-001	-5,8582E-001	-8,7018E-001	-1,1890E000	-1,5280E000	-1,8644E000	-2,1656E000	-2,3997E000	-2,5464E000	-2,6034E000	-2,5884E000	-2,4960E000	-2,0116E000	-3,1323E-003	TRUE
035,000	-1,5953E-002	-7,9831E-002	-2,5419E-001	-6,0685E-001	-1,1809E000	-1,9594E000	-2,8560E000	-3,7410E000	-4,4930E000	-5,0406E000	-5,3738E000	-5,5239E000	-5,5283E000	-5,4123E000	-5,1889E000	-4,7764E000	-3,5533E000	-5,1577E-003	TRUE
040,000	-9,8815E-002	-4,3870E-001	-9,5932E-001	-1,6909E000	-2,6718E000	-3,9551E000	-5,5492E000	-7,3602E000	-9,1819E000	-1,0755E001	-1,1867E001	-1,2417E001	-1,2420E001	-1,1958E001	-1,1108E001	-9,6720E000	-6,5117E000	-8,7289E-003	TRUE
045,000	-3,5613E-001	-1,7019E000	-3,3993E000	-5,2440E000	-6,9377E000	-8,3726E000	-9,6182E000	-1,0845E001	-1,2198E001	-1,3690E001	-1,5161E001	-1,6345E001	-1,6991E001	-1,6963E001	-1,6160E001	-1,4187E001	-9,4532E000	-1,2512E-002	TRUE
050,000	-9,6055E-001	-4,0872E000	-8,2095E000	-1,2670E001	-1,6577E001	-1,9332E001	-2,0684E001	-2,0719E001	-1,9771E001	-1,8289E001	-1,6712E001	-1,5326E001	-1,4187E001	-1,3160E001	-1,1985E001	-1,0173E001	-6,5846E000	-8,5963E-003	TRUE
055,000	-2,1089E000	-6,7549E000	-1,3507E001	-2,1212E001	-2,8411E001	-3,4086E001	-3,7595E001	-3,8676E001	-3,7430E001	-3,4263E001	-2,9764E001	-2,4567E001	-1,9297E001	-1,4476E001	-1,0375E001	-6,9051E000	-3,6106E000	-4,2784E-003	TRUE

100
0,08726646	0,17453293	0,26179939	0,34906585	0,43633231	0,52359878	0,61086524	0,6981317	0,78539816	0,87266463	0,95993109	1,04719755	1,13446401	1,22173048	1,30899694	1,3962634	1,48352986	1,57079633	
020,000	-1,8115E-005	-5,3574E-004	-4,4308E-003	-1,9372E-002	-5,7898E-002	-1,3479E-001	-2,6292E-001	-4,4763E-001	-6,8136E-001	-9,4379E-001	-1,2068E000	-1,4377E000	-1,6071E000	-1,7031E000	-1,7436E000	-1,7766E000	-1,7302E000	-3,5953E-003	TRUE
025,000	-1,0444E-003	-1,5774E-002	-7,8948E-002	-2,4680E-001	-5,9136E-001	-1,1792E000	-2,0338E000	-3,1070E000	-4,2877E000	-5,4437E000	-6,4640E000	-7,2731E000	-7,8259E000	-8,1108E000	-8,1834E000	-8,1303E000	-7,1826E000	-1,2581E-002	TRUE
030,000	-1,4612E-002	-1,5133E-001	-6,4750E-001	-1,7210E000	-3,4468E000	-5,7412E000	-8,4591E000	-1,1482E001	-1,4688E001	-1,7848E001	-2,0622E001	-2,2680E001	-2,3817E001	-2,4029E001	-2,3516E001	-2,2312E001	-1,7791E001	-2,7673E-002	TRUE
035,000	-1,5909E-001	-7,9198E-001	-2,5113E000	-5,9577E000	-1,1453E001	-1,8629E001	-2,6403E001	-3,3434E001	-3,8730E001	-4,1977E001	-4,3413E001	-4,3481E001	-4,2518E001	-4,0715E001	-3,8234E001	-3,4702E001	-2,5890E001	-3,7956E-002	TRUE
040,000	-9,7896E-001	-4,1592E000	-8,7608E000	-1,5085E001	-2,3654E001	-3,4835E001	-4,8054E001	-6,1532E001	-7,2812E001	-7,9761E001	-8,1384E001	-7,7997E001	-7,0824E001	-6,1425E001	-5,1379E001	-4,1134E001	-2,6904E001	-3,6473E-002	TRUE
045,000	-3,4545E000	-1,4970E001	-2,6677E001	-3,7066E001	-4,5762E001	-5,3886E001	-6,2594E001	-7,2224E001	-8,2019E001	-9,0410E001	-9,5606E001	-9,6187E001	-9,1563E001	-8,2316E001	-6,9939E001	-5,5245E001	-3,4665E001	-4,5568E-002	TRUE
050,000	-8,8664E000	-3,3098E001	-5,4672E001	-6,9642E001	-7,7832E001	-8,1133E001	-8,1325E001	-7,9756E001	-7,7226E001	-7,4051E001	-7,0479E001	-6,6790E001	-6,2716E001	-5,7426E001	-5,0025E001	-3,9785E001	-2,4491E001	-3,1685E-002	TRUE
055,000	-1,7983E001	-5,0030E001	-7,7440E001	-9,3370E001	-1,0031E002	-1,0158E002	-9,8607E001	-9,1848E001	-8,1710E001	-6,9093E001	-5,5514E001	-4,2684E001	-3,2105E001	-2,4243E001	-1,8254E001	-1,2852E001	-7,1520E000	-8,9580E-003	TRUE

1000
